path,start_sec,end_sec
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0000.wav,0.0,10.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0001.wav,8.0,18.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0002.wav,16.0,26.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0003.wav,24.0,34.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0004.wav,32.0,42.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0005.wav,40.0,50.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0006.wav,48.0,58.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0007.wav,56.0,66.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0008.wav,64.0,74.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0009.wav,72.0,82.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0010.wav,80.0,90.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0011.wav,88.0,98.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0012.wav,96.0,106.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0013.wav,104.0,114.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0014.wav,112.0,122.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0015.wav,120.0,130.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0016.wav,128.0,138.0
/home/xezpeleta/Dev/itzune/zeineuski/data/processed/speech/external_analysis/segments/segment_0017.wav,136.0,146.0
