prem_id,premise,dialect
prem1,"Beno, horretan pentsetan be ez netzen ibili, baña hain frustraute neuenez, barriro berba ein neuen hareaz.",western
prem2,"Eta pentseu neuen hori pribilegixue zala, eta halan izeten jarraitzen dau, ni neu netzen bederatzi bi bi ixa zero bakarra, hoixe zan nire AFSC Aireko Indarren Karrerako alorra.",western
prem3,"Esaustien azkenien tipo bati deittukotziela, ezautu naian.",western
prem4,"Hainbeste gauzaz berba ein leikezunez, hori eztot aittetuko.",western
prem5,"Hori zan salbatu gure geñun gauza nausixe, ez euelako modurik 20 megatoiko hidrogeno bonba bat botateko 30 batetik, C124 batetik.",western
prem6,Enau seguru zergaittik.,western
prem7,"Hau Fannie Flono da, eta Augustan hazi zan, Georgian, eta bere umezaroko istorixo batzuei buruz eingo dau berba.",western
prem8,Eta nik bost U2 destakamendu neuzen.,western
prem9,Ni netzen miniaturazko altitude ganberetan probarako erregulagailuek erabilten ebazan bakarra.,western
prem10,"Sarjentu burue naz, erretiraue, Rickek esan aben moduen.",western
prem11,"Diru fluxuaren proiekziño batzuk dauz mahai ganien, eta, Cutty dalako batentzat da, hori da bezeroaren izena.",western
prem12,Lagundu ahal dozten neskie hiriaren beste aldien dau.,western
prem13,"Baña zelaiko eskuek nortzuk zien eta etxeko umiek nortzuk zien, holan zan...",western
prem14,"Hirugarren SSaz, U2 Quick eta Blackbirdari buruz berba eingozku gaur.'",western
prem15,"Bost seme-alaba baño ez eukiezan, eta horrexetako bat hil ein zan.",western
prem16,"Eta, jakiñe, Androv Gromikovek ez aben ezer erantzun, baña informaziño guztixe geneuken, U2ak grabautako filmetatik.",western
prem17,"Esan aben malkuek bakarrik urteteotziela begixetatik, eta esan aben gero Joe ataripera etorri zala.",western
prem18,"Aireontzixe sutan egonda be, erre eingo leitteke, eta urtu ein biko leitteke, berunezko pieza barruen, erradiazinue atarateko.",western
prem19,"Clem Francis sarjentu burue da, AEBetako Aireko Indarretatik erretiraue.",western
prem20,"Beno, une batien, astebetien bizpahiru aireontzi iritsi zien, eta ez nekixen nora joiazen hegan.",western
prem21,"Presiño jantzi osuekaz entrenamendue jaso eben ya, eta horretarako denporie biher zan.",western
