name,url,type,territory,municipality,dialect_class,language,notes
28 Kanala,https://www.28kanala.eus,telebista,Hegoalde,Gernika-Lumo,western,eu,Bizkaia local TV [Tokikom member verified via Wikipedia]
Aiaraldea,https://aiaraldea.eus,tokikoa,Hegoalde,Laudio,western,eu,Tokikom member (from Wikipedia)
Aikor,https://aikor.eus,tokikoa,Hegoalde,Ondarroa,western,eu,"⚠ sitemap OK, extraction failed. Lea-Artibai coast, dialectal content [Tokikom member verified via Wikipedia]"
Aiurri,https://aiurri.eus,tokikoa,Hegoalde,Andoain,central,eu,✓ 10 articles (3508 avg chars). Buruntzaldea region [Tokikom member verified via Wikipedia]
Alea,https://alea.eus,tokikoa,Hegoalde,Gasteiz,batua,eu,Tokikom member (from Wikipedia)
Amezti,https://amezti.eus,tokikoa,Hegoalde,Ultzama,navarrese,eu,"⚠ sitemap OK, no articles. Tokikom member (from Wikipedia)"
Anboto,https://anboto.org,tokikoa,Hegoalde,Durango,western,eu,"Durangaldea region, Western dialect [Tokikom member verified via Wikipedia]"
Antxeta Irratia,https://www.antxetamedia.eus,irratia,Iparralde,Hendaia,nav-lab,eu,Bidasoa-Txingudi cross-border radio
Antxetamedia,https://www.antxetamedia.eus,irratia,Iparralde,Hendaia,nav-lab,eu,Tokikom member (from Wikipedia)
Argia,https://www.argia.eus,aldizkaria,Hegoalde,Lasarte-Oria,batua,eu,"✗ JS-rendered, needs Playwright. General weekly magazine, oldest in Basque"
Arraio Irratia,https://arraioirratia.eus,irratia,Hegoalde,Zarautz,central,eu,Zarautz radio
Arrosa Sarea,https://www.arrosasarea.eus,irratia,Hegoalde,Oiartzun,batua,eu,Network of Basque local radios
Ataria,https://ataria.eus,tokikoa,Hegoalde,Tolosa,central,eu,✓ 10 articles (3328 avg chars). Tolosaldea digital [Tokikom member verified via Wikipedia]
Baigura,https://baigura.eus,tokikoa,Iparralde,Hazparne,nav-lab,eu,Nafarroa Beherea
Baleike,https://baleike.eus,tokikoa,Hegoalde,Zumaia,central,eu,Zumaia local
Barren,https://barren.eus,tokikoa,Hegoalde,Elgoibar,western,eu,Elgoibar [Tokikom member verified via Wikipedia]
Begitu,https://begitu.eus,tokikoa,Hegoalde,Arratzu,western,eu,✓ 10 articles (1046 avg chars). Tokikom member (from Wikipedia)
Berdin,https://berdin.eus,tokikoa,Hegoalde,Legazpi,central,eu,Urola Garaia
Berria,https://www.berria.eus,egunkaria,Hegoalde,Andoain,batua,eu,"✗ JS-rendered, needs Playwright. Only all-Basque daily newspaper"
Bertsolari aldizkaria,https://www.bertsolari.eus,aldizkaria,Hegoalde,Andoain,batua,eu,Bertsolaritza magazine
Bilbo Hiria Irratia,https://www.bilbohiria.eus,irratia,Hegoalde,Bilbo,western,eu,Bilbao community radio
Bizkaia Irratia,https://www.bizkaiairratia.eus,irratia,Hegoalde,Bilbo,western,eu,Bizkaia radio
Busturialdeko Hitza,https://busturialdea.hitza.eus,tokikoa,Hegoalde,Gernika-Lumo,western,eu,"⚠ paywall excerpts (864 avg chars). Busturialdea, Western dialect"
Dantzan,https://dantzan.eus,aldizkaria,Hegoalde,Donostia,batua,eu,Basque dance magazine
Deia (euskara),https://www.deia.eus,egunkaria,Hegoalde,Bilbo,es+batua,eu,"Spanish+Batua bilingual. Basque section, Bizkaia-focused"
Drogetenitturri,https://drogetenitturri.eus,tokikoa,Hegoalde,Ermua,western,eu,Ermua
EITB,https://www.eitb.eus,telebista-irratia,Hegoalde,Bilbo,batua,eu,"✗ JS-rendered, needs Playwright. Basque public broadcasting (ETB1, ETB2, radio)"
El Diario Vasco (euskara),https://www.diariovasco.com,egunkaria,Hegoalde,Donostia,es+batua,es+eu,"Spanish+Batua bilingual. Basque section of Spanish newspaper, Gipuzkoa-focused"
Elhuyar aldizkaria,https://www.elhuyar.eus,aldizkaria,Hegoalde,Usurbil,batua,eu,Science & technology magazine
Erlo Telebista,https://www.erlotelebista.eus,telebista,Hegoalde,Azpeitia,central,eu,"Local TV, Urola"
Erran,https://erran.eus,tokikoa,Iparralde,Donibane Lohizune,nav-lab,eu,✓ 10 articles (2187 avg chars). Lapurdi coast [Tokikom member verified via Wikipedia]
Erran.eus (Baztan),https://erran.eus,tokikoa,Hegoalde,Elizondo,navarrese,eu,"Baztan area, 2nd URL also serves Nafarroa"
Eta kitto!,https://etakitto.eus,tokikoa,Hegoalde,Eibar,western,eu,"✓ 10 articles (2352 avg chars). Eibar, dialectal content"
Euskadi Irratia,https://www.eitb.eus/eu/irratia/euskadi-irratia/,irratia,Hegoalde,Donostia,batua,eu,"EITB public radio, standard Basque"
Euskal Irratiak (Iparralde),https://www.euskalirratiak.eus,irratia,Iparralde,Baiona,nav-lab,eu,Iparralde radio network
Euskalerria Irratia,https://euskalerriairratia.eus,irratia,Hegoalde,Iruñea,batua,eu,Iruñerria radio [Tokikom member verified via Wikipedia]
EuskalKultura,https://www.euskalkultura.eus,aldizkaria,Hegoalde,Donostia,batua,eu,Basque diaspora magazine
Euskonews,https://www.euskonews.eus,aldizkaria,Hegoalde,Donostia,batua,eu,Basque science & culture magazine
Gara (euskara),https://www.naiz.eus,egunkaria,Hegoalde,Donostia,batua,es+eu,Spanish+Batua bilingual. Naiz is digital platform of Gara
Geuria,https://www.geuria.eus,tokikoa,Hegoalde,Basauri,western,eu,Bilbo metropolitan area [Tokikom member verified via Wikipedia]
GiTB,https://www.gitb.eus,telebista,Hegoalde,Ordizia,central,eu,Tokikom member (from Wikipedia)
GITB - Goierri Irrati Telebista,https://www.gitb.eus,irratia,Hegoalde,Ordizia,central,eu,Goierri radio & TV
Goiena,https://goiena.eus,tokikoa,Hegoalde,Arrasate,western,eu,"Debagoiena region, Western dialect area [Tokikom member verified via Wikipedia]"
Goierriko Hitza,https://goierri.hitza.eus,tokikoa,Hegoalde,Ordizia,central,eu,"⚠ paywall excerpts (1716 avg chars). Goierri region, Central dialect"
Guaixe,https://guaixe.eus,tokikoa,Hegoalde,Altsasu,central,eu,"⚠ sitemap OK, extraction failed. Sakana region [Tokikom member verified via Wikipedia]"
Guka,https://www.guka.eus,tokikoa,Hegoalde,Getxo,western,eu,Getxo area
Gure Irratia,https://gureirratia.eus,irratia,Iparralde,Baiona,nav-lab,eu,Iparralde radio
Hamaika Telebista,https://hamaika.eus,telebista,Hegoalde,Hernani,central,eu,"Basque TV, Gipuzkoa"
