herria,probintzia,eskualdea,dialect_class,dialect_confidence,notes
Getxo,Bizkaia,Getxo,western,high,ahotsak:sartaldekoa-m
Mungia,Bizkaia,Mungialdea,western,high,ahotsak:sartaldekoa-m
Derio,Bizkaia,Txorierri,western,high,ahotsak:sartaldekoa-m
Bilbo,Bizkaia,Bilbo Handia,western,high,ahotsak:sartaldekoa-m
Basauri,Bizkaia,Bilbo Handia,western,high,ahotsak:sartaldekoa-m
Galdakao,Bizkaia,Bilbo Handia,western,high,ahotsak:sartaldekoa-m
Arrankudiaga,Bizkaia,Arratia-Nerbioi,western,medium,ahotsak:sartaldekoa-m
Arrigorriaga,Bizkaia,Bilbo Handia,western,medium,ahotsak:sartaldekoa-m
Bedia,Bizkaia,Arratia-Nerbioi,western,low,ahotsak:sartaldekoa-m
Berango,Bizkaia,Getxo,western,high,ahotsak:sartaldekoa-m
Dima,Bizkaia,Arratia-Nerbioi,western,medium,ahotsak:sartaldekoa-m
Erandio,Bizkaia,Bilbo Handia,western,medium,ahotsak:sartaldekoa-m
Etxebarri,Bizkaia,Bilbo Handia,western,medium,ahotsak:sartaldekoa-m
Fruiz,Bizkaia,Mungialdea,western,medium,ahotsak:sartaldekoa-m
Igorre,Bizkaia,Arratia-Nerbioi,western,high,ahotsak:sartaldekoa-m
Zeberio,Bizkaia,Arratia-Nerbioi,western,high,ahotsak:sartaldekoa-m
Orozko,Bizkaia,Arratia-Nerbioi,western,high,ahotsak:sartaldekoa-m
Leioa,Bizkaia,Getxo,western,medium,ahotsak:sartaldekoa-m
Lemoa,Bizkaia,Arratia-Nerbioi,western,low,ahotsak:sartaldekoa-m
Lemoiz,Bizkaia,Mungialdea,western,low,ahotsak:sartaldekoa-m
Lezama,Bizkaia,Txorierri,western,medium,ahotsak:sartaldekoa-m
Loiu,Bizkaia,Txorierri,western,low,ahotsak:sartaldekoa-m
Morga,Bizkaia,Busturialdea,western,medium,ahotsak:sartaldekoa-m
Sondika,Bizkaia,Txorierri,western,low,ahotsak:sartaldekoa-m
Sopela,Bizkaia,Getxo,western,high,ahotsak:sartaldekoa-m
Urduliz,Bizkaia,Mungialdea,western,low,ahotsak:sartaldekoa-m
Zamudio,Bizkaia,Txorierri,western,high,ahotsak:sartaldekoa-m
Zaratamo,Bizkaia,Arratia-Nerbioi,western,low,ahotsak:sartaldekoa-m
Bermeo,Bizkaia,Busturialdea,western,low,ahotsak:tartekoa-m
Gernika,Bizkaia,Busturialdea,western,low,Tarteko hizkera (Busturialdea)
Zornotza,Bizkaia,Durangaldea,western,low,Tarteko hizkera (Busturialdea)
Durango,Bizkaia,Durangaldea,western,high,ahotsak:sortaldekoa-m
Lekeitio,Bizkaia,Lea-Artibai,western,high,ahotsak:sortaldekoa-m
Ondarroa,Bizkaia,Lea-Artibai,western,high,ahotsak:sortaldekoa-m
Markina,Bizkaia,Lea-Artibai,western,high,Sortaldea
Otxandio,Bizkaia,Durangaldea,western,low,ahotsak:tartekoa-m
Ubide,Bizkaia,Arratia-Nerbioi,western,medium,ahotsak:tartekoa-m
Legutio,Araba,Gorbeialdea,western,low,ahotsak:tartekoa-m
Aramaio,Araba,Gorbeialdea,western,high,ahotsak:sortaldekoa-m
Mutriku,Gipuzkoa,Debabarrena,western,low,ahotsak:sortaldekoa-m
Mendaro,Gipuzkoa,Debabarrena,western,low,ahotsak:sortaldekoa-m
Elgoibar,Gipuzkoa,Debabarrena,western,low,ahotsak:sortaldekoa-m
Eibar,Gipuzkoa,Debabarrena,western,high,ahotsak:sortaldekoa-m
